Date,Open,High,Low,Close,Adj Close,Volume
2020-12-09,64.410004,64.529999,62.849998,63.430000,63.430000,185100
2020-12-10,62.799999,63.900002,62.730000,63.700001,63.700001,81800
2020-12-11,63.860001,64.199997,62.950001,63.139999,63.139999,86500
2020-12-14,63.040001,63.200001,61.959999,62.099998,62.099998,114700
2020-12-15,62.720001,63.910000,61.980000,63.790001,63.790001,109300
2020-12-16,63.310001,63.410000,62.689999,63.259998,63.259998,82000
2020-12-17,63.580002,63.779999,63.060001,63.240002,63.240002,59300
2020-12-18,63.680000,63.730000,62.230000,62.470001,62.470001,118700
2020-12-21,60.730000,62.189999,60.349998,61.810001,61.810001,140500
2020-12-22,61.619999,61.680000,60.860001,61.369999,61.369999,105100
2020-12-23,63.180000,63.549999,62.689999,63.360001,63.360001,112000
2020-12-24,63.389999,63.450001,62.490002,62.880001,62.880001,52300
2020-12-28,63.430000,63.919998,62.869999,63.090000,63.090000,60900
2020-12-29,65.120003,65.160004,63.779999,64.000000,64.000000,82300
2020-12-30,64.870003,65.019997,64.250000,64.330002,64.330002,56000
2020-12-31,64.080002,65.160004,63.450001,65.120003,65.120003,118100
2021-01-04,64.900002,65.029999,62.750000,63.279999,63.279999,89300
2021-01-05,63.709999,65.160004,63.680000,64.669998,64.669998,87900
2021-01-06,65.800003,66.180000,64.809998,65.419998,65.419998,168500
2021-01-07,64.419998,65.059998,64.400002,64.860001,64.860001,102200
2021-01-08,65.339996,65.430000,64.410004,65.360001,65.360001,79800
2021-01-11,64.010002,64.410004,63.910000,64.330002,64.330002,58400
2021-01-12,66.089996,66.980003,65.610001,66.830002,66.830002,137300
2021-01-13,66.300003,66.550003,65.860001,65.970001,65.970001,60600
2021-01-14,66.250000,67.000000,66.209999,66.389999,66.389999,79700
2021-01-15,66.330002,66.389999,65.419998,65.639999,65.639999,87600
2021-01-19,66.099998,66.750000,65.959999,66.510002,66.510002,54900
2021-01-20,66.089996,66.419998,65.699997,66.019997,66.019997,45700
2021-01-21,66.870003,66.900002,66.059998,66.650002,66.650002,62000
2021-01-22,64.650002,65.080002,64.300003,64.790001,64.790001,79400
